abuseD,day,amountD
All,02/01/2017,4942
All,03/01/2017,4940
All,04/01/2017,4922
All,05/01/2017,4726
All,06/01/2017,4903
All,07/01/2017,4213
All,08/01/2017,3852
Neglected,02/01/2017,2847
Neglected,03/01/2017,2755
Neglected,04/01/2017,2691
Neglected,05/01/2017,2675
Neglected,06/01/2017,2811
Neglected,07/01/2017,2492
Neglected,08/01/2017,2120
Other,02/01/2017,1209
Other,03/01/2017,1176
Other,04/01/2017,1258
Other,05/01/2017,1126
Other,06/01/2017,1147
Other,07/01/2017,944
Other,08/01/2017,905
Tortured,02/01/2017,444
Tortured,03/01/2017,551
Tortured,04/01/2017,497
Tortured,05/01/2017,453
Tortured,06/01/2017,459
Tortured,07/01/2017,335
Tortured,08/01/2017,389
Chained,02/01/2017,326
Chained,03/01/2017,326
Chained,04/01/2017,367
Chained,05/01/2017,358
Chained,06/01/2017,332
Chained,07/01/2017,300
Chained,08/01/2017,282
In Car,02/01/2017,116
In Car,03/01/2017,132
In Car,04/01/2017,109
In Car,05/01/2017,114
In Car,06/01/2017,154
In Car,07/01/2017,142
In Car,08/01/2017,156
